,id,0-score,1-score,av-rank-in-CV,prop-selected-in-CV,classifier
130,ADGRV1,-0.0018,0.0091,152.3,0.6,2
131,TWIST1,0.0013,-0.0069,150.6,0.7,1
132,TSPAN8,-0.0013,0.0066,151.4,0.7,2
133,COL1A1,0.0012,-0.0062,157.3,0.6,1
134,AHCYL2,-0.0011,0.0059,160.4,0.8,2
135,CTU1,0.0011,-0.0055,154.8,0.6,1
136,SLC35A1,-0.001,0.005,156.8,0.8,2
137,C2orf88,-9.00E-04,0.0044,163.1,0.6,2
139,FRMD3,-8.00E-04,0.0042,156.2,0.5,2
140,TSPAN1,-7.00E-04,0.0038,163.5,0.6,2
141,OSCAR,7.00E-04,-0.0035,156.2,0.6,1
142,PLS1,-5.00E-04,0.0028,159.5,0.6,2
144,SNHG25,5.00E-04,-0.0026,163.4,0.6,1
146,GPC1,5.00E-04,-0.0024,159.4,0.6,1
147,ANKRD13B,4.00E-04,-0.002,162.6,0.5,1
148,SYTL5,-3.00E-04,0.0013,170.2,0.5,2
